,Vo,Mo
250.0,-705330759803.4518,-2.4224752881344744e+16
255.0,-705331935041.5596,-2.4224793245177376e+16
260.0,-705331868575.9734,-2.4224790962400996e+16
265.0,-705330483549.718,-2.4224743393344484e+16
270.0,-705327706699.1733,-2.4224648021751372e+16
275.0,-705323469040.4985,-2.422450247835522e+16
280.0,-705317706571.2887,-2.4224304564978188e+16
285.0,-705310360983.9489,-2.4224052279032052e+16
290.0,-705301380386.9816,-2.4223743838290976e+16
295.0,-705290720030.095,-2.4223377705795524e+16
300.0,-705278343028.7656,-2.4222952614737964e+16
305.0,-705264221083.6227,-2.422246759316966e+16
310.0,-705248335189.7667,-2.4221921988362824e+16
315.0,-705230676330.9009,-2.4221315490650584e+16
320.0,-705211246152.9323,-2.422064815656202e+16
325.0,-705190057611.5018,-2.42199204310617e+16
330.0,-705167135587.7281,-2.421913316869757e+16
335.0,-705142517466.297,-2.4218287653455556e+16
340.0,-705116253669.9119,-2.4217385617115428e+16
345.0,-705088408144.0247,-2.4216429255898944e+16
350.0,-705059058785.7113,-2.4215421245199732e+16
355.0,-705028297810.536,-2.4214364752183292e+16
360.0,-704996232051.2606,-2.4213263446046276e+16
365.0,-704962983182.3164,-2.4212121505725988e+16
370.0,-704928687864.051,-2.4210943624854612e+16
375.0,-704893497800.9099,-2.4209735013757444e+16
380.0,-704857579707.9003,-2.42085013983011e+16
385.0,-704821115179.9236,-2.420724901540571e+16
390.0,-704784300458.8531,-2.4205984605045136e+16
395.0,-704747346093.5684,-2.4204715398570772e+16
400.0,-704710476488.551,-2.4203449103207972e+16
405.0,-704673929337.091,-2.4202193882589372e+16
410.0,-704637954935.6471,-2.4200958333206452e+16
415.0,-704602815376.4584,-2.4199751456679556e+16
420.0,-704568783616.1012,-2.419858262776729e+16
425.0,-704536142418.3503,-2.419746155805882e+16
430.0,-704505183170.4052,-2.4196398255316892e+16
435.0,-704476204572.3022,-2.4195402978465384e+16
440.0,-704449511200.144,-2.4194486188243044e+16
445.0,-704425411944.628,-2.4193658493574428e+16
450.0,-704404218327.2603,-2.419293059373983e+16
455.0,-704386242697.5775,-2.4192313216458468e+16
460.0,-704371796315.6842,-2.419181705203273e+16
465.0,-704361187325.4202,-2.419145268373616e+16
470.0,-704354718624.5249,-2.419123051466374e+16
475.0,-704352685639.2292,-2.419116069129972e+16
480.0,-704355374011.8011,-2.419125302409579e+16
485.0,-704363057210.6724,-2.4191516905390356e+16
490.0,-704375994073.8912,-2.4191961225037816e+16
495.0,-704394426297.765,-2.419259428415538e+16
500.0,-704418575883.6627,-2.4193423707432944e+16
505.0,-704448642557.058,-2.419445635448943e+16
510.0,-704484801173.9663,-2.4195698230796344e+16
515.0,-704527199130.9929,-2.4197154398725176e+16
520.0,-704575953796.2218,-2.4198828889310716e+16
525.0,-704631149979.1554,-2.420072461535552e+16
530.0,-704692837458.8367,-2.4202843286532668e+16
535.0,-704761028590.1453,-2.4205185327173444e+16
540.0,-704835696009.0505,-2.42077497974537e+16
545.0,-704916770458.3152,-2.4210534318717136e+16
550.0,-705004138755.7601,-2.421353500369486e+16
555.0,-705097641927.7268,-2.421674639239871e+16
560.0,-705197073530.7798,-2.422016139447976e+16
565.0,-705302178184.9954,-2.422377123885371e+16
570.0,-705412650342.3405,-2.422756543140062e+16
575.0,-705528133313.687,-2.4231531721547464e+16
580.0,-705648218577.8907,-2.423565607853827e+16
585.0,-705772445396.099,-2.423992267818745e+16
590.0,-705900300754.0317,-2.42443139008974e+16
595.0,-706031219654.3833,-2.424881034170114e+16
600.0,-706164585780.7319,-2.4253390833064424e+16
605.0,-706299732553.3958,-2.4258032481149364e+16
610.0,-706435944596.544,-2.4262710716202732e+16
615.0,-706572459634.5548,-2.426739935768679e+16
620.0,-706708470834.094,-2.4272070694718584e+16
625.0,-706843129606.6869,-2.4276695582324904e+16
630.0,-706975548884.6447,-2.4281243553954764e+16
635.0,-707104806881.1073,-2.4285682950618984e+16
640.0,-707229951342.6661,-2.4289981066947524e+16
645.0,-707350004300.5375,-2.429410431436965e+16
650.0,-707463967323.5681,-2.4298018401529692e+16
655.0,-707570827273.4915,-2.4301688531952656e+16
660.0,-707669562559.7938,-2.430507961886911e+16
665.0,-707759149888.3297,-2.430815651699799e+16
670.0,-707838571494.4368,-2.431088427096965e+16
675.0,-707906822847.7546,-2.4313228379949668e+16
680.0,-707962920812.2714,-2.4315155077897652e+16
685.0,-708005912241.305,-2.431663162876387e+16
690.0,-708034882983.2018,-2.4317626635792108e+16
695.0,-708048967269.505,-2.4318110363958596e+16
700.0,-708047357453.2476,-2.4318055074435944e+16
705.0,-708029314060.8485,-2.431743536982795e+16
710.0,-707994176116.8921,-2.431622854877659e+16
715.0,-707941371696.836,-2.431441496839729e+16
720.0,-707870428658.4778,-2.431197841285367e+16
725.0,-707780985498.8043,-2.43089064662387e+16
730.0,-707672802278.7158,-2.430519088778685e+16
735.0,-707545771554.0361,-2.430082798730231e+16
740.0,-707399929247.2693,-2.429581899855205e+16
745.0,-707235465390.7214,-2.4290170448240852e+16
750.0,-707052734667.9382,-2.4283894518059544e+16
755.0,-706852266676.91,-2.427700939717721e+16
760.0,-706634775835.2252,-2.4269539622436012e+16
765.0,-706401170844.3066,-2.4261516403402676e+16
770.0,-706152563627.0923,-2.4252977929335252e+16
775.0,-705890277651.0363,-2.424396965503857e+16
780.0,-705615855546.1359,-2.423454456250717e+16
785.0,-705331065925.8568,-2.4224763395191628e+16
790.0,-705037909317.3584,-2.421469486167356e+16
795.0,-704738623106.3245,-2.420441580549698e+16
800.0,-704435685401.0094,-2.4194011337879908e+16
805.0,-704131817719.8295,-2.4183574930020336e+16
810.0,-703829986407.0438,-2.4173208461718116e+16
815.0,-703533402681.9302,-2.416302222306391e+16
820.0,-703245521228.6361,-2.415313486600733e+16
825.0,-702970037236.8,-2.414367330271629e+16
830.0,-702710881807.2637,-2.413477254778519e+16
835.0,-702472215642.84,-2.4126575501542776e+16
840.0,-702258420951.0684,-2.4119232671950384e+16
845.0,-702074091494.0431,-2.4112901832860884e+16
850.0,-701924020729.5936,-2.4107747616724736e+16
855.0,-701813187998.3765,-2.4103941040182336e+16
860.0,-701746742722.782,-2.4101658961371736e+16
865.0,-701729986595.8912,-2.4101083468204124e+16
870.0,-701768353752.0558,-2.410240119731763e+16
875.0,-701867388925.097,-2.4105802583915536e+16
880.0,-702032723615.7179,-2.411148104323031e+16
885.0,-702270050306.5227,-2.4119632084932356e+16
890.0,-702585094781.2477,-2.413045236242738e+16
895.0,-702983586624.747,-2.414413865967137e+16
900.0,-703471228002.3815,-2.4160886818891316e+16
905.0,-704053660842.0043,-2.418089061344265e+16
910.0,-704736432568.8234,-2.4204340570964944e+16
915.0,-705524960573.0693,-2.4231422753015536e+16
920.0,-706424495622.3402,-2.4262317498457756e+16
925.0,-707440084463.5437,-2.429719813901576e+16
930.0,-708576531890.6005,-2.4336229696480744e+16
935.0,-709838362579.5281,-2.437956757192784e+16
940.0,-711229783009.5697,-2.4427356237888196e+16
945.0,-712754643797.9966,-2.4479727944728812e+16
950.0,-714416402779.538,-2.4536801452606748e+16
955.0,-716218089161.3368,-2.459868080036258e+16
960.0,-718162269081.9421,-2.466545412263575e+16
965.0,-720251012898.3236,-2.4737192526329332e+16
