,Vo,Mo
430.0,-76548239275.27115,-2.531980222182046e+16
435.0,-76329153762.40256,-2.5247335475256228e+16
440.0,-76096928935.60988,-2.51705226479325e+16
445.0,-75851829172.32858,-2.5089451187770224e+16
450.0,-75594172895.12256,-2.5004226419155924e+16
455.0,-75324331597.09875,-2.4914971220578816e+16
460.0,-75042728490.07416,-2.4821825577486068e+16
465.0,-74749836776.12914,-2.472494601056579e+16
470.0,-74446177546.43777,-2.4624504880744804e+16
475.0,-74132317314.82162,-2.452068957336407e+16
480.0,-73808865197.31554,-2.4413701565265908e+16
485.0,-73476469753.1348,-2.430375537988305e+16
490.0,-73135815506.73763,-2.419107743684398e+16
495.0,-72787619175.11523,-2.4075904804076576e+16
500.0,-72432625628.91577,-2.395848386187214e+16
505.0,-72071603620.40161,-2.3839068889825148e+16
510.0,-71705341315.41315,-2.371792058894435e+16
515.0,-71334641670.30684,-2.3595304552486108e+16
520.0,-70960317698.08252,-2.3471489700134984e+16
525.0,-70583187670.44756,-2.334674669099419e+16
530.0,-70204070304.23445,-2.3221346331400624e+16
535.0,-69823779981.28108,-2.3095557993808356e+16
540.0,-69443122050.52336,-2.2969648062865416e+16
545.0,-69062888259.60832,-2.284387842433198e+16
550.0,-68683852360.82429,-2.2718505011657264e+16
555.0,-68306765932.62024,-2.2593776423866696e+16
560.0,-67932354453.54704,-2.2469932626942484e+16
565.0,-67561313660.24043,-2.2347203749156452e+16
570.0,-67194306215.25136,-2.2225808978890836e+16
575.0,-66831958704.3096,-2.2105955571425484e+16
580.0,-66474858976.18104,-2.1987837969044496e+16
585.0,-66123553831.84214,-2.1871637036686244e+16
590.0,-65778547063.42571,-2.175751941328697e+16
595.0,-65440297837.4553,-2.1645636977004444e+16
600.0,-65109219411.42817,-2.1536126420703164e+16
605.0,-64785678167.96052,-2.142910893247925e+16
610.0,-64469992946.58798,-2.132468997464064e+16
615.0,-64162434650.01766,-2.122295915346738e+16
620.0,-63863226099.232796,-2.1123990171284696e+16
625.0,-63572542110.41297,-2.1027840851905828e+16
630.0,-63290509766.17744,-2.0934553230350996e+16
635.0,-63017208854.18067,-2.08441536979213e+16
640.0,-62752672447.54518,-2.075665319418802e+16
645.0,-62496887603.93095,-2.067204743822331e+16
650.0,-62249796163.10004,-2.0590317192410012e+16
655.0,-62011295626.49045,-2.0511428553377612e+16
660.0,-61781240106.38228,-2.0435333265957216e+16
665.0,-61559441336.50706,-2.0361969057460024e+16
670.0,-61345669740.18313,-2.0291259990983652e+16
675.0,-61139655556.01725,-2.022311683775955e+16
680.0,-60941090024.67894,-2.0157437469701496e+16
685.0,-60749626643.05069,-2.0094107274239844e+16
690.0,-60564882494.05373,-2.0032999594187004e+16
695.0,-60386439661.56907,-1.997397619574977e+16
700.0,-60213846740.09316,-1.9916887767876972e+16
705.0,-60046620448.11465,-1.9861574455914844e+16
710.0,-59884247352.75672,-1.9807866432065684e+16
715.0,-59726185711.12791,-1.975558450445e+16
720.0,-59571867431.23309,-1.970454076571556e+16
725.0,-59420700152.40796,-1.9654539281181096e+16
730.0,-59272069442.24445,-1.9605376815511628e+16
735.0,-59125341104.04397,-1.9556843595953004e+16
740.0,-58979863586.11454,-1.950872410925327e+16
745.0,-58834970481.82958,-1.946079792860517e+16
750.0,-58689983107.369965,-1.941284056628391e+16
755.0,-58544213142.526955,-1.9364624347143532e+16
760.0,-58396965318.86695,-1.9315919297779068e+16
765.0,-58247540138.93792,-1.9266494045956388e+16
770.0,-58095236609.99222,-1.921611672484358e+16
775.0,-57939354975.858406,-1.916455587663009e+16
780.0,-57779199431.054085,-1.9111581350271736e+16
785.0,-57614080801.93876,-1.9056965188333588e+16
790.0,-57443319180.61026,-1.9000482498201856e+16
795.0,-57266246498.31479,-1.894191230328874e+16
800.0,-57082209026.340195,-1.8881038370250988e+16
805.0,-56890569793.67953,-1.8817650008678612e+16
810.0,-56690710912.17894,-1.8751542840182264e+16
815.0,-56482035801.42441,-1.8682519534317304e+16
820.0,-56263971307.282394,-1.8610390509331868e+16
825.0,-56035969709.7995,-1.8534974596318296e+16
830.0,-55797510618.08457,-1.845609966598182e+16
835.0,-55548102751.83081,-1.8373603217913268e+16
840.0,-55287285611.25643,-1.8287332932954052e+16
845.0,-55014631039.4001,-1.819714718995542e+16
850.0,-54729744682.83893,-1.810291554893903e+16
855.0,-54432267358.91512,-1.8004519203333464e+16
860.0,-54121876339.363556,-1.7901851404558714e+16
865.0,-53798286561.70756,-1.7794817862718652e+16
870.0,-53461251780.81048,-1.768333712749885e+16
875.0,-53110565673.417336,-1.7567340953514964e+16
880.0,-52746062908.29488,-1.7446774654282154e+16
885.0,-52367620193.619446,-1.732159744865874e+16
890.0,-51975157311.548195,-1.7191782803050558e+16
895.0,-51568638147.46676,-1.705731877185439e+16
900.0,-51148071718.303444,-1.6918208337592678e+16
905.0,-50713513200.65314,-1.6774469750985268e+16
910.0,-50265064955.42067,-1.6626136869869914e+16
915.0,-49802877541.473976,-1.6473259494487546e+16
920.0,-49327150706.61893,-1.631590369526626e+16
925.0,-48838134340.30816,-1.6154152127948084e+16
930.0,-48336129369.0945,-1.598810432977741e+16
935.0,-47821488573.11981,-1.58178769895704e+16
940.0,-47294617300.02696,-1.5643604183855074e+16
945.0,-46755974051.67874,-1.5465437570939892e+16
950.0,-46206070918.994156,-1.5283546534744222e+16
955.0,-45645473841.045296,-1.5098118270499598e+16
960.0,-45074802666.222595,-1.490935780498132e+16
965.0,-44494730995.64857,-1.4717487944714526e+16
970.0,-43905985791.93611,-1.4522749146563484e+16
975.0,-43309346739.66326,-1.432539930619631e+16
980.0,-42705645347.38743,-1.412571346105892e+16
985.0,-42095763784.48509,-1.3923983405637378e+16
990.0,-41480633449.439186,-1.3720517217891424e+16
995.0,-40861233269.304436,-1.351563869676993e+16
1000.0,-40238587732.88627,-1.3309686711646996e+16
1005.0,-39613764662.6348,-1.3103014465333052e+16
1010.0,-38987872732.373055,-1.2895988673015702e+16
1015.0,-38362058739.77189,-1.2688988660078392e+16
1020.0,-37737504644.001076,-1.2482405382246508e+16
1025.0,-37115424380.28749,-1.2276640371941246e+16
1030.0,-36497060464.26336,-1.2072104615102496e+16
1035.0,-35883680400.04536,-1.1869217363091924e+16
1040.0,-35276572906.99262,-1.1668404884620638e+16
1045.0,-34677043981.07636,-1.1470099162971412e+16
1050.0,-34086412807.767128,-1.1274736544107588e+16
1055.0,-33506007544.305374,-1.1082756341577932e+16
1060.0,-32937160990.146114,-1.0894599404432946e+16
1065.0,-32381206165.22677,-1.0710706654651932e+16
1070.0,-31839471816.45398,-1.0531517600827084e+16
1075.0,-31313277873.3914,-1.0357468835044848e+16
1080.0,-30803930874.511845,-1.0188992520030842e+16
1085.0,-30312719385.517746,-1.0026514873671254e+16
1090.0,-29840909431.11317,-9870454657983588.0
1095.0,-29389739961.220608,-9721221679480662.0
1100.0,-28960418371.985893,-9579215307656872.0
1105.0,-28554116101.026573,-9444823018031866.0
1110.0,-28171964315.291916,-9318418965827326.0
1115.0,-27815049708.666306,-9200362595943470.0
1120.0,-27484410425.125027,-9090997294464432.0
1125.0,-27181032121.906597,-8990649086476797.0
1130.0,-26905844185.862396,-8899625384554485.0
1135.0,-26659716114.935474,-8818213791863273.0
1140.0,-26443454075.647243,-8746680963483319.0
1145.0,-26257797646.56125,-8685271529247182.0
1150.0,-26103416756.96205,-8634207081148986.0
1155.0,-25980908829.434998,-8593685228197730.0
1160.0,-25890796134.648026,-8563878721460501.0
1165.0,-25833523366.395042,-8544934651961438.0
1170.0,-25809455444.827988,-8536973724058488.0
1175.0,-25818875555.741516,-8540089606899116.0
1180.0,-25861983433.738995,-8554348366544436.0
1185.0,-25938893897.063343,-8579787981336336.0
1190.0,-26049635641.787815,-8616417943052893.0
1195.0,-26194150302.903458,-8664218946344990.0
1200.0,-26372291789.590324,-8723142668864492.0
1205.0,-26583825901.60463,-8793111644376916.0
1210.0,-26828430233.245056,-8874019230996442.0
1215.0,-27105694370.77719,-8965729676487841.0
1220.0,-27415120388.49793,-9068078282349314.0
1225.0,-27756123647.819294,-9180871668124844.0
1230.0,-28128033902.851658,-9303888137097086.0
1235.0,-28530096714.978287,-9436878144185126.0
1240.0,-28961475177.84456,-9579564866517816.0
1245.0,-29421251953.042076,-9731644876775456.0
1250.0,-29908431615.55655,-9892788918991782.0
1255.0,-30421943306.772964,-1.0062642786086442e+16
1260.0,-30960643691.49641,-1.0240828297956506e+16
1265.0,-31523320214.055733,-1.0426944378495358e+16
1270.0,-32108694647.112644,-1.0620568229429568e+16
1275.0,-32715426925.305607,-1.0821256598370316e+16
1280.0,-33342119254.31964,-1.1028547137967266e+16
1285.0,-33987320484.397945,-1.1241959852531628e+16
1290.0,-34649530735.70654,-1.1460998627964472e+16
1295.0,-35327206261.34034,-1.1685152840289496e+16
1300.0,-36018764532.13159,-1.1913899037551218e+16
1305.0,-36722589525.80503,-1.2146702689304742e+16
1310.0,-37437037201.43604,-1.2383019997398076e+16
1315.0,-38160441138.629845,-1.2622299761239104e+16
1320.0,-38891118319.372475,-1.2863985290253974e+16
1325.0,-39627375029.12932,-1.3107516355788928e+16
1330.0,-40367512852.50534,-1.3352331174290228e+16
1335.0,-41109834737.64848,-1.3597868413222192e+16
1340.0,-41852651102.58657,-1.384356921085556e+16
1345.0,-42594285955.847305,-1.4088879200780262e+16
1350.0,-43333083003.02361,-1.433325053176935e+16
1355.0,-44067411710.41215,-1.4576143873444018e+16
1360.0,-44795673296.46689,-1.4817030398062124e+16
1365.0,-45516306621.56346,-1.5055393728670992e+16
1370.0,-46227793946.45223,-1.5290731843826508e+16
1375.0,-46928666529.77916,-1.55225589290808e+16
1380.0,-47617510035.16635,-1.57504071654781e+16
1385.0,-48292969718.56759,-1.5973828445372358e+16
1390.0,-48953755366.95667,-1.6192396005993362e+16
1395.0,-49598645959.881714,-1.640570597134549e+16
1400.0,-50226494026.05138,-1.6613378793232378e+16
1405.0,-50836229667.93944,-1.6815060582472276e+16
1410.0,-51426864228.44182,-1.7010424321715372e+16
1415.0,-51997493574.93976,-1.7199170951710842e+16
1420.0,-52547300977.76277,-1.738103032341384e+16
1425.0,-53075559562.050316,-1.7555762008985874e+16
1430.0,-53581634314.41526,-1.7723155965537356e+16
1435.0,-54064983628.634186,-1.7883033046394384e+16
1440.0,-54525160377.82532,-1.803524535574222e+16
1445.0,-54961812504.20229,-1.817967644369768e+16
1450.0,-55374683121.46411,-1.831624134017659e+16
1455.0,-55763610129.133606,-1.844488642732881e+16
1460.0,-56128525342.59841,-1.856558915178255e+16
1465.0,-56469453147.13387,-1.8678357579436588e+16
1470.0,-56786508688.673836,-1.8783229797022884e+16
1475.0,-57079895618.41569,-1.8880273166091344e+16
1480.0,-57349903412.38107,-1.896958343640297e+16
1485.0,-57596904290.698654,-1.90512837269234e+16
1490.0,-57821349764.54766,-1.912552338365807e+16
1495.0,-58023766841.339584,-1.9192476724443092e+16
1500.0,-58204753920.78472,-1.925234168149033e+16
1505.0,-58364976415.97347,-1.930533835297584e+16
1510.0,-58505162134.508736,-1.9351707475260584e+16
1515.0,-58626096455.08319,-1.939170882745059e+16
1520.0,-58728617334.75095,-1.9425619579956084e+16
1525.0,-58813610181.55583,-1.945373259851462e+16
1530.0,-58882002626.21391,-1.94763547148246e+16
1535.0,-58934759225.27243,-1.9493804974513188e+16
1540.0,-58972876126.64278,-1.9506412872658764e+16
1545.0,-58997375726.69442,-1.9514516586522e+16
1550.0,-59009301346.25368,-1.9518461214530064e+16
1555.0,-59009711950.93077,-1.9518597029923252e+16
1560.0,-58999676939.248245,-1.9515277756828264e+16
1565.0,-58980271020.11005,-1.9508858875882556e+16
1570.0,-58952569199.27259,-1.9499695965913244e+16
1575.0,-58917641892.69259,-1.9488143087582932e+16
1580.0,-58876550182.959885,-1.9474551214363652e+16
1585.0,-58830341233.49712,-1.9459266715695204e+16
1590.0,-58780043873.83455,-1.944262989672989e+16
1595.0,-58726664368.05237,-1.9424973598663476e+16
1600.0,-58671182377.42048,-1.940662186330062e+16
1605.0,-58614547127.34403,-1.9387888665198412e+16
1610.0,-58557673787.92262,-1.9369076714466716e+16
1615.0,-58501440076.72491,-1.9350476333070548e+16
1620.0,-58446683091.733574,-1.933236440726572e+16
1625.0,-58394196381.795654,-1.9315003418593948e+16
1630.0,-58344727261.284775,-1.9298640555655732e+16
1635.0,-58298974375.01905,-1.9283506908660148e+16
1640.0,-58257585518.76028,-1.9269816748513016e+16
1645.0,-58221155719.834885,-1.9257766891945384e+16
1650.0,-58190225581.55998,-1.9247536153900612e+16
1655.0,-58165279894.23441,-1.923928488809292e+16
1660.0,-58146746514.4757,-1.9233154616326576e+16
1665.0,-58134995513.67089,-1.9229267746829604e+16
1670.0,-58130338595.286766,-1.922772738151793e+16
1675.0,-58133028779.78304,-1.922861721177439e+16
1680.0,-58143260354.91884,-1.9232001502011616e+16
1685.0,-58161169088.361626,-1.9237925159996536e+16
1690.0,-58186832698.71998,-1.9246413892653532e+16
1695.0,-58220271580.438286,-1.925747444583728e+16
1700.0,-58261449777.42231,-1.9271094926378148e+16
1705.0,-58310276199.81051,-1.9287245204552708e+16
1710.0,-58366606077.96371,-1.9305877395018764e+16
1715.0,-58430242647.50668,-1.932692641417529e+16
1720.0,-58500939059.105385,-1.9350310611857936e+16
1725.0,-58578400506.584206,-1.9375932475254776e+16
1730.0,-58662286566.957886,-1.940367940291684e+16
1735.0,-58752213745.94642,-1.9433424546736124e+16
1740.0,-58847758222.53064,-1.9465027719760136e+16
1745.0,-58948458786.06112,-1.949833636769714e+16
1750.0,-59053819959.31912,-1.953318660192863e+16
1755.0,-59163315300.71062,-1.956940429177351e+16
1760.0,-59276390878.414276,-1.960680621362934e+16
1765.0,-59392468908.761604,-1.9645201254436532e+16
1770.0,-59510951550.36487,-1.9684391666659148e+16
1775.0,-59631224844.49173,-1.9724174371639572e+16
1780.0,-59752662790.89377,-1.9764342307757172e+16
1785.0,-59874631546.72382,-1.9804685819300956e+16
1790.0,-59996493734.335365,-1.9844994081357084e+16
1795.0,-60117612841.67873,-1.9885056555324504e+16
1800.0,-60237357696.743484,-1.9924664468922844e+16
1805.0,-60355106995.11393,-1.9963612313768456e+16
1810.0,-60470253857.29359,-2.0001699352797108e+16
1815.0,-60582210390.12005,-2.0038731129039708e+16
1820.0,-60690412224.44998,-2.007452096654884e+16
1825.0,-60794322999.46268,-2.0108891453668424e+16
1830.0,-60893438762.51526,-2.014167589837043e+16
1835.0,-60987292252.5682,-2.017271974508025e+16
1840.0,-61075457034.84262,-2.0201881942294096e+16
1845.0,-61157551454.60071,-2.022903625036793e+16
1850.0,-61233242378.754715,-2.025407247912656e+16
1855.0,-61302248695.3792,-2.027689764539466e+16
1860.0,-61364344543.06539,-2.0297437041167784e+16
1865.0,-61419362244.3293,-2.0315635203893536e+16
1870.0,-61467194919.85871,-2.0331456781184036e+16
1875.0,-61507798763.14196,-2.0344887283193108e+16
1880.0,-61541194957.84731,-2.035593371682642e+16
1885.0,-61567471223.1177,-2.036462509687739e+16
1890.0,-61586782974.6298,-2.0371012830069856e+16
1895.0,-61599354091.782265,-2.037517096882029e+16
1900.0,-61605477283.688675,-2.0377196332297024e+16
1905.0,-61605514048.74368,-2.0377208493045988e+16
1910.0,-61599894224.413605,-2.0375349628075268e+16
1915.0,-61589115125.60487,-2.037178423385392e+16
1920.0,-61573740271.52949,-2.0366698705198212e+16
1925.0,-61554397702.4705,-2.036030077850947e+16
1930.0,-61531777889.30871,-2.0352818840309804e+16
1935.0,-61506631240.15154,-2.0344501102511664e+16
1940.0,-61479765209.94608,-2.0335614646366784e+16
1945.0,-61452041020.58793,-2.0326444337579084e+16
1950.0,-61424370000.7696,-2.0317291615639176e+16
1955.0,-61397709556.65196,-2.0308473161046416e+16
1960.0,-61373058786.37851,-2.03003194447252e+16
1965.0,-61351453753.468094,-2.0293173164608676e+16
1970.0,-61333962436.185455,-2.028738757504596e+16
1975.0,-61321679372.069855,-2.028332471537695e+16
1980.0,-61315720018.86646,-2.0281353544701984e+16
1985.0,-61317214855.12517,-2.02818479905414e+16
1990.0,-61327303245.68734,-2.0285184919727348e+16
1995.0,-61347127099.16034,-2.0291742040491496e+16
2000.0,-61377824346.277435,-2.030189574530715e+16
2005.0,-61420522269.7614,-2.0316018904613384e+16
2010.0,-61476330717.96524,-2.0334478622096196e+16
2015.0,-61546335236.17145,-2.035763396273363e+16
2020.0,-61631590151.01488,-2.0385833665335692e+16
2025.0,-61733111645.07694,-2.0419413851833144e+16
2030.0,-61851870860.295975,-2.04586957460979e+16
2035.0,-61988787070.456215,-2.050398341561244e+16
2040.0,-62144720964.64823,-2.0555561549845184e+16
2045.0,-62320468085.214806,-2.06136932897249e+16
2050.0,-62516752465.270996,-2.06786181231281e+16
2055.0,-62734220512.366325,-2.0750549861782708e+16
2060.0,-62973435186.17499,-2.082967471542711e+16
2065.0,-63234870519.1799,-2.0916149479421044e+16
2070.0,-63518906530.07131,-2.1010099852254356e+16
2075.0,-63825824579.91911,-2.1111618899511704e+16
2080.0,-64155803221.01085,-2.1220765680795896e+16
2085.0,-64508914587.493675,-2.1337564055863292e+16
2090.0,-64885121375.5473,-2.1462001685757956e+16
2095.0,-65284274458.68853,-2.1594029244027744e+16
2100.0,-65706111180.91886,-2.1733559852150084e+16
2105.0,-66150254366.74243,-2.188046875207634e+16
2110.0,-66616212082.579414,-2.203459322731473e+16
2115.0,-67103378178.774,-2.219573278220986e+16
2120.0,-67611033635.250656,-2.236364958704445e+16
2125.0,-68138348726.93406,-2.2538069194293576e+16
2130.0,-68684386017.36,-2.2718681528819076e+16
2135.0,-69248104180.53632,-2.290514215202355e+16
2140.0,-69828362642.15662,-2.3097073797021036e+16
2145.0,-70423927021.84367,-2.3294068168763676e+16
2150.0,-71033475348.3483,-2.3495687999838284e+16
2155.0,-71655605009.72125,-2.3701469349369336e+16
2160.0,-72288840390.60544,-2.391092412920026e+16
2165.0,-72931641139.17926,-2.412354283834391e+16
2170.0,-73582410997.15114,-2.4338797483673068e+16
2175.0,-74239507117.79416,-2.4556144662039604e+16
