,Vo,Mo
435.0,-1486302236575.262,-5.104740419666227e+16
440.0,-1490455536916.0176,-5.119005028574656e+16
445.0,-1494815963260.4546,-5.133981016674299e+16
450.0,-1499378484312.8052,-5.149651103860051e+16
455.0,-1504137104938.979,-5.165994699701136e+16
460.0,-1509084873663.7566,-5.1829879291904024e+16
465.0,-1514213896857.6914,-5.200603681469571e+16
470.0,-1519515359766.5059,-5.218811682055202e+16
475.0,-1524979554475.138,-5.237578588881873e+16
480.0,-1530595914830.79,-5.256868112246226e+16
485.0,-1536353058274.0579,-5.276641158476972e+16
490.0,-1542238834444.2979,-5.2968559968711896e+16
495.0,-1548240380334.4912,-5.317468449125009e+16
500.0,-1554344181671.847,-5.33843210014676e+16
505.0,-1560536140093.236,-5.359698528772603e+16
510.0,-1566801645571.0176,-5.381217556514745e+16
515.0,-1573125653431.3013,-5.402937512082506e+16
520.0,-1579492765205.868,-5.4248055090701544e+16
525.0,-1585887312483.773,-5.446767733947244e+16
530.0,-1592293442884.1592,-5.468769741334285e+16
535.0,-1598695207253.0916,-5.490756753482345e+16
540.0,-1605076647187.8684,-5.5126739608773816e+16
545.0,-1611421882011.0796,-5.53446682095472e+16
550.0,-1617715194356.0024,-5.556081352044128e+16
555.0,-1623941113584.3801,-5.577464419870163e+16
560.0,-1630084496331.856,-5.5985640141873864e+16
565.0,-1636130603558.1697,-5.619329513411095e+16
570.0,-1642065173563.2217,-5.639711935392732e+16
575.0,-1647874490513.1377,-5.659664172774289e+16
580.0,-1653545448100.547,-5.679141211631046e+16
585.0,-1659065608039.0781,-5.69810033237231e+16
590.0,-1664423253162.841,-5.7165012921128536e+16
595.0,-1669607434967.5374,-5.734306487953982e+16
600.0,-1674608015491.9507,-5.751481100826522e+16
605.0,-1679415703498.7974,-5.767993219754798e+16
610.0,-1684022084973.9272,-5.783813946606882e+16
615.0,-1688419648023.6575,-5.798917481605062e+16
620.0,-1692601802310.5332,-5.813281190078438e+16
625.0,-1696562893221.1946,-5.826885651122794e+16
