,Vo,Mo
605.0,-23079820362.7265,-8631852815659713.0
610.0,-23403237108.52936,-8752810678589983.0
615.0,-23744291482.61123,-8880365014496600.0
620.0,-24102691608.198044,-9014406661466070.0
625.0,-24478069595.966286,-9154798028891392.0
630.0,-24869982024.801033,-9301373277275588.0
635.0,-25277910994.921974,-9453938712100820.0
640.0,-25701265765.199192,-9612273396184498.0
645.0,-26139384981.06101,-9776129982916818.0
650.0,-26591539493.558228,-9945235770590778.0
655.0,-27056935763.855167,-1.0119293975681834e+16
660.0,-27534719840.642307,-1.0297985220400224e+16
665.0,-28023981890.744305,-1.0480969227138372e+16
670.0,-28523761255.66731,-1.0667886709619574e+16
675.0,-29033051999.18653,-1.0858361447695764e+16
680.0,-29550808903.484604,-1.1052002529903244e+16
685.0,-30075953863.884884,-1.1248406745092948e+16
690.0,-30607382624.829613,-1.1447161101686276e+16
695.0,-31143971792.281063,-1.1647845450313118e+16
700.0,-31684586050.046856,-1.1850035182717526e+16
705.0,-32228085499.710587,-1.2053303976891762e+16
710.0,-32773333036.410606,-1.2257226555617568e+16
715.0,-33319201667.019512,-1.24613814234653e+16
720.0,-33864581675.32842,-1.266535354657283e+16
725.0,-34408387541.9823,-1.2868736940701382e+16
730.0,-34949564534.73171,-1.307113713598966e+16
735.0,-35487094895.37765,-1.3272173490871242e+16
740.0,-36020003562.00288,-1.3471481332189076e+16
745.0,-36547363377.81386,-1.3668713903302384e+16
750.0,-37068299750.64891,-1.3863544106742694e+16
755.0,-37581994739.40291,-1.405566603253669e+16
760.0,-38087690554.657425,-1.424479626744188e+16
765.0,-38584692470.21975,-1.443067498386219e+16
770.0,-39072371149.97935,-1.4613066810092278e+16
775.0,-39550164400.74217,-1.4791761485877576e+16
780.0,-40017578366.865,-1.496657430920751e+16
785.0,-40474188186.81269,-1.513734638186795e+16
790.0,-40919638135.194084,-1.530394466256259e+16
795.0,-41353641276.27102,-1.5466261837325362e+16
800.0,-41775978656.40783,-1.562421601749653e+16
805.0,-42186498063.68816,-1.5777750275819374e+16
810.0,-42585112383.274864,-1.5926832031344802e+16
815.0,-42971797577.21079,-1.6071452293876838e+16
820.0,-43346590317.32162,-1.6211624778678286e+16
825.0,-43709585299.68836,-1.634738490208345e+16
830.0,-44060932268.758415,-1.647878866851565e+16
835.0,-44400832778.53175,-1.6605911459170876e+16
840.0,-44729536717.49578,-1.6728846732343424e+16
845.0,-45047338623.33297,-1.6847704645126532e+16
850.0,-45354573813.14666,-1.6962610606116854e+16
855.0,-45651614355.13357,-1.7073703768819958e+16
860.0,-45938864908.11977,-1.7181135475636794e+16
865.0,-46216758455.862114,-1.7285067662492434e+16
870.0,-46485751963.242836,-1.7385671234252824e+16
875.0,-46746321981.376396,-1.7483124421034772e+16
880.0,-46998960228.23595,-1.7577611125360246e+16
885.0,-47244169170.70189,-1.766931926984251e+16
890.0,-47482457632.96638,-1.7758439154729428e+16
895.0,-47714336455.151405,-1.7845161834226628e+16
900.0,-47940314225.0483,-1.7929677520168068e+16
905.0,-48160893105.20585,-1.801217402134699e+16
910.0,-48376564777.15429,-1.8092835226655708e+16
915.0,-48587806524.220535,-1.8171839640058484e+16
920.0,-48795077474.01674,-1.8249358975282264e+16
925.0,-48998815021.14664,-1.8325556817908844e+16
930.0,-49199431449.86848,-1.8400587362250812e+16
935.0,-49397310775.302505,-1.847459422996314e+16
940.0,-49592805820.25784,-1.8547709376776436e+16
945.0,-49786235542.92971,-1.862005209305571e+16
950.0,-49977882628.673454,-1.869172810312387e+16
955.0,-50167991356.88039,-1.8762828767473268e+16
960.0,-50356765751.73645,-1.8833430391149436e+16
965.0,-50544368023.400475,-1.890359364075178e+16
970.0,-50730917303.949524,-1.8973363071677124e+16
975.0,-50916488680.36175,-1.9042766766455296e+16
980.0,-51101112524.93627,-1.911181608432617e+16
985.0,-51284774122.0394,-1.9180505521642736e+16
990.0,-51467413589.05151,-1.9248812682305268e+16
995.0,-51648926088.853745,-1.93166983572313e+16
1000.0,-51829162330.96171,-1.938410671177968e+16
1005.0,-52007929358.28322,-1.9450965579997924e+16
1010.0,-52184991616.32447,-1.951718686450535e+16
1015.0,-52360072301.45756,-1.958266704074513e+16
1020.0,-52532854984.59403,-1.964728776423817e+16
1025.0,-52702985506.29802,-1.971091657935546e+16
1030.0,-52870074138.996155,-1.9773407727984564e+16
1035.0,-53033698011.42693,-1.9834603056273676e+16
1040.0,-53193403789.72058,-1.98943330173555e+16
1045.0,-53348710608.439674,-1.995241776755644e+16
1050.0,-53499113243.52323,-2.0008668353077692e+16
1055.0,-53644085517.39393,-2.0062887983505332e+16
1060.0,-53783083924.5861,-2.01148733877952e+16
1065.0,-53915551464.25174,-2.016441624763015e+16
1070.0,-54040921663.90654,-2.021130470230105e+16
1075.0,-54158622776.79269,-2.0255324918520468e+16
1080.0,-54268082133.191734,-2.029626271781371e+16
1085.0,-54368730623.87261,-2.033390525332836e+16
1090.0,-54460007291.62784,-2.0368042727068812e+16
1095.0,-54541364004.58179,-2.0398470137713588e+16
1100.0,-54612270182.66209,-2.0424989048315624e+16
1105.0,-54672217546.275185,-2.044740936230692e+16
1110.0,-54720724853.78885,-2.046555109531703e+16
1115.0,-54757342591.95855,-2.04792461293925e+16
1120.0,-54781657581.13287,-2.0488339935343696e+16
1125.0,-54793297455.17378,-2.0492693248234996e+16
1130.0,-54791934974.675186,-2.0492183680528524e+16
1135.0,-54777292131.29426,-2.0486707257104056e+16
1140.0,-54749144000.82882,-2.047617985630998e+16
1145.0,-54707322303.09081,-2.046053854135597e+16
1150.0,-54651718627.60626,-2.0439742766724744e+16
1155.0,-54582287285.637024,-2.0413775444828252e+16
1160.0,-54499047750.85346,-2.0382643858819196e+16
1165.0,-54402086653.03469,-2.0346380408234976e+16
1170.0,-54291559291.32591,-2.0305043174955896e+16
1175.0,-54167690635.88677,-2.0258716297821656e+16
1180.0,-54030775789.388466,-2.020751014523129e+16
1185.0,-53881179882.96862,-2.0151561276230264e+16
1190.0,-53719337385.15234,-2.009103218204698e+16
1195.0,-53545750807.09652,-2.00261108018541e+16
1200.0,-53360988793.42148,-1.9957009808739636e+16
1205.0,-53165683594.86729,-1.988396566448037e+16
1210.0,-52960527926.94399,-1.9807237444677056e+16
1215.0,-52746271227.3849,-1.9727105439041956e+16
1220.0,-52523715334.20145,-1.9643869534991344e+16
1225.0,-52293709615.12685,-1.9557847396057444e+16
1230.0,-52057145587.96473,-1.9469372449898812e+16
1235.0,-51814951079.71937,-1.937879170381505e+16
1240.0,-51568083980.47163,-1.928646340869639e+16
1245.0,-51317525656.07994,-1.91927545953739e+16
1250.0,-51064274092.304794,-1.9098038510521996e+16
1255.0,-50809336851.98201,-1.9002691982641276e+16
1260.0,-50553723935.78056,-1.8907092751981932e+16
1265.0,-50298440644.505905,-1.8811616801045212e+16
1270.0,-50044480545.44353,-1.871663572399588e+16
1275.0,-49792818646.11449,-1.862251417364682e+16
1280.0,-49544404875.91136,-1.8529607423590852e+16
1285.0,-49300157969.72338,-1.8438259080676548e+16
1290.0,-49060959838.616,-1.8348798979642384e+16
1295.0,-48827650501.92704,-1.8261541287720716e+16
1300.0,-48601023643.60273,-1.8176782842707424e+16
1305.0,-48381822843.622765,-1.8094801743514916e+16
1310.0,-48170738523.07988,-1.8015856207631876e+16
1315.0,-47968405628.96141,-1.7940183705231572e+16
1320.0,-47775402072.05802,-1.7868000374949702e+16
1325.0,-47592247918.83449,-1.7799500721644102e+16
1330.0,-47419405325.62383,-1.7734857591783316e+16
1335.0,-47257279191.2158,-1.767422241751471e+16
1340.0,-47106218491.88666,-1.7617725715965612e+16
1345.0,-46966518251.17249,-1.7565477825938516e+16
1350.0,-46838422085.136314,-1.7517569859840982e+16
1355.0,-46722125252.50445,-1.7474074844436666e+16
1360.0,-46617778128.06857,-1.7435049019897646e+16
1365.0,-46525490007.536606,-1.7400533262818694e+16
1370.0,-46445333143.041626,-1.737055459549757e+16
1375.0,-46377346901.67868,-1.7345127741227828e+16
1380.0,-46321541936.28278,-1.7324256684169762e+16
1385.0,-46277904259.61984,-1.7307936193097824e+16
1390.0,-46246399120.21257,-1.7296153270959504e+16
1395.0,-46226974588.557205,-1.7288888496120396e+16
1400.0,-46219564774.823746,-1.7286117225784084e+16
1405.0,-46224092612.802895,-1.7287810637188286e+16
1410.0,-46240472160.28363,-1.729393658794608e+16
1415.0,-46268610383.39159,-1.7304460283388456e+16
1420.0,-46308408411.12724,-1.731934474576159e+16
1425.0,-46359762265.49565,-1.7338551087295376e+16
1430.0,-46422563091.36999,-1.7362038596172378e+16
1435.0,-46496696927.75897,-1.7389764650981858e+16
1440.0,-46582044077.50861,-1.7421684484988224e+16
1445.0,-46678478144.69103,-1.7457750826114448e+16
1450.0,-46785864817.22372,-1.7497913441641672e+16
1455.0,-46904060476.11723,-1.7542118618067848e+16
1460.0,-47032910712.07666,-1.7590308606316672e+16
1465.0,-47172248825.48489,-1.7642421060731352e+16
1470.0,-47321894378.17259,-1.7698388497436552e+16
1475.0,-47481651856.105,-1.7758137794183274e+16
1480.0,-47651309492.12585,-1.782158975005507e+16
1485.0,-47830638287.7023,-1.7888658719600664e+16
1490.0,-48019391262.58549,-1.7959252332206974e+16
1495.0,-48217302951.83714,-1.8033271303987096e+16
1500.0,-48424089161.07631,-1.8110609346242544e+16
