,Vo,Mo
260.0,-1127219255651.286,-6.573942698958299e+16
265.0,-1127175459370.4377,-6.573687279048394e+16
270.0,-1127128989181.9937,-6.573416264909387e+16
275.0,-1127079977647.1362,-6.5731304296380984e+16
280.0,-1127028581811.0645,-6.572830689122128e+16
285.0,-1126974983721.0032,-6.572518105060891e+16
290.0,-1126919390816.6064,-6.572193887242449e+16
295.0,-1126862036182.2573,-6.571859395014925e+16
300.0,-1126803178650.9795,-6.571516137892512e+16
305.0,-1126743102749.9731,-6.571165775237843e+16
310.0,-1126682118478.1597,-6.570810114964627e+16
315.0,-1126620560906.5747,-6.570451111207144e+16
320.0,-1126558789592.9941,-6.570090860906342e+16
325.0,-1126497187802.802,-6.5697315992659416e+16
330.0,-1126436161528.831,-6.569375694036143e+16
335.0,-1126376138303.7087,-6.5690256385872296e+16
340.0,-1126317565799.1372,-6.568684043740569e+16
345.0,-1126260910207.5227,-6.568353628330272e+16
350.0,-1126206654402.4373,-6.5680372084750136e+16
355.0,-1126155295875.5571,-6.567737685546249e+16
360.0,-1126107344448.966,-6.5674580328263704e+16
365.0,-1126063319763.0352,-6.5672012808580216e+16
370.0,-1126023748541.4944,-6.566970501493996e+16
375.0,-1125989161636.7864,-6.566768790665738e+16
380.0,-1125960090860.3438,-6.566599249897525e+16
385.0,-1125937065604.0337,-6.566464966602725e+16
390.0,-1125920609260.6855,-6.566368993208318e+16
395.0,-1125911235453.326,-6.5663143251637976e+16
400.0,-1125909444084.5132,-6.566303877900882e+16
405.0,-1125915717218.939,-6.566340462820851e+16
410.0,-1125930514814.2905,-6.566426762396943e+16
415.0,-1125954270317.1848,-6.566565304489821e+16
420.0,-1125987386142.8123,-6.566758435984882e+16
425.0,-1126030229058.759,-6.5670082958706824e+16
430.0,-1126083125495.2493,-6.567316787888293e+16
435.0,-1126146356805.8337,-6.567685552891622e+16
440.0,-1126220154504.247,-6.56811594106877e+16
445.0,-1126304695504.8079,-6.568608984184039e+16
450.0,-1126400097395.315,-6.569165368009476e+16
455.0,-1126506413772.8652,-6.56978540512335e+16
460.0,-1126623629674.3926,-6.570469008261057e+16
465.0,-1126751657134.9734,-6.571215664411165e+16
470.0,-1126890330908.066,-6.57202440985584e+16
475.0,-1127039404382.789,-6.572893806360426e+16
480.0,-1127198545734.1477,-6.573821918721549e+16
485.0,-1127367334342.696,-6.574806293886604e+16
490.0,-1127545257520.5474,-6.575843941859832e+16
495.0,-1127731707580.798,-6.576931318611214e+16
500.0,-1127925979287.4077,-6.578064311204162e+16
505.0,-1128127267722.2634,-6.57923822535624e+16
510.0,-1128334666605.6226,-6.58044777564399e+16
515.0,-1128547167105.2925,-6.5816870785580664e+16
520.0,-1128763657168.8167,-6.582949648608539e+16
