,Vo,Mo
605.0,-120313038672.08762,-3395274735407218.5
610.0,-119123757557.49327,-3361712819207225.0
615.0,-117884157338.0719,-3326730880811690.0
620.0,-116596695514.29913,-3290398271717085.5
625.0,-115264250534.9103,-3252796222722468.5
630.0,-113890137351.24896,-3214018282878466.5
635.0,-112478121990.19371,-3174170730740212.5
640.0,-111032434987.42046,-3133372953458560.5
645.0,-109557783514.89883,-3091757789022145.0
650.0,-108059362030.5026,-3049471826792997.0
655.0,-106542861273.4954,-3006675661362201.0
660.0,-105014475427.22246,-2963544094683481.5
665.0,-103480907269.59908,-2920266281421736.5
670.0,-101949371133.09726,-2877045812484863.5
675.0,-100427593498.7884,-2834100731787842.5
680.0,-98923811053.26392,-2791663481418380.0
685.0,-97446766042.78387,-2749980770529409.5
690.0,-96005698765.92497,-2709313363479069.0
695.0,-94610337054.33994,-2669935782974169.5
700.0,-93270882600.66515,-2632135924239109.5
705.0,-91997994002.64236,-2596214576515246.5
710.0,-90802766402.97507,-2562484848490737.0
715.0,-89696707615.57729,-2531271494575189.5
720.0,-88691710641.10127,-2502910139278536.0
725.0,-87800022488.25143,-2477746397337943.0
730.0,-87034209232.79776,-2456134887671326.5
735.0,-86407117264.08398,-2438438139740675.0
740.0,-85931830689.88907,-2425025391502801.5
745.0,-85621624894.64806,-2416271278806593.5
750.0,-85489916272.08374,-2412554416830837.5
755.0,-85550208180.0947,-2414255874912842.0
760.0,-85816033193.50307,-2421757546901400.5
765.0,-86300891760.33076,-2435440420016114.0
770.0,-87018187400.84222,-2455682746142412.0
775.0,-87981158625.96313,-2482858120546247.5
780.0,-89202807792.41666,-2517333474141927.5
785.0,-90695827155.2115,-2559466986668257.0
790.0,-92472522422.61415,-2609605929383942.0
795.0,-94544734162.19792,-2668084447119653.5
800.0,-96923757446.88986,-2735221290662231.0
805.0,-99620260167.00677,-2811317511492649.0
810.0,-102644200469.84029,-2896654131903120.0
815.0,-106004743824.048,-2991489804526100.5
820.0,-109710180242.26653,-3096058476328369.0
825.0,-113767842231.55939,-3210567073144854.0
830.0,-118184024077.09164,-3335193221836569.5
835.0,-122963903099.32063,-3470083028141845.0
840.0,-128111463558.32948,-3615348929230823.5
845.0,-133629423909.72734,-3771067640842305.5
850.0,-139519168143.632,-3937278219646564.0
855.0,-145780681960.47244,-4113980262104857.5
860.0,-152412494553.18182,-4301132261543182.0
865.0,-159411626772.3415,-4498650145355060.5
870.0,-166773546446.4952,-4706406014125670.0
875.0,-174492131614.0362,-4924227104023225.0
880.0,-182559642398.41937,-5151894993107936.0
885.0,-190966702227.49774,-5389145071335317.0
890.0,-199702289060.22128,-5635666292970651.0
895.0,-208753737237.25073,-5891101228813940.0
900.0,-218106750513.7732,-6155046433990379.0
905.0,-227745426761.68774,-6427053145054408.0
910.0,-237652294743.6797,-6706628317766554.0
915.0,-247808363262.66962,-6993236014107541.0
920.0,-258193182875.60464,-7286299143862402.0
925.0,-268784920229.46432,-7585201562407764.0
930.0,-279560444928.8919,-7889290522145848.0
935.0,-290495428678.98615,-8197879470347660.0
940.0,-301564456264.5949,-8510251181026279.0
