,Vo,Mo
605.0,-371630139741.9286,-5574452096128928.0
610.0,-370960495946.4598,-5564407439196896.0
615.0,-370342843155.8086,-5555142647337128.0
620.0,-369777182697.9401,-5546657740469101.0
625.0,-369263400135.9363,-5538951002039044.0
630.0,-368801270696.1488,-5532019060442232.0
635.0,-368390464895.4256,-5525856973431383.0
640.0,-368030554317.3833,-5520458314760749.0
645.0,-367721017490.8538,-5515815262362807.0
650.0,-367461245826.89746,-5511918687403461.0
655.0,-367250549574.08264,-5508758243611239.0
660.0,-367088163755.019,-5506322456325284.0
665.0,-366973254050.3518,-5504598810755276.0
670.0,-366904922599.55865,-5503573838993380.0
675.0,-366882213690.915,-5503233205363724.0
680.0,-366904119315.908,-5503561789738620.0
685.0,-366969584566.18915,-5504543768492837.0
690.0,-367077512853.8617,-5506162692807925.0
695.0,-367226770938.5339,-5508401564078008.0
700.0,-367416193747.1416,-5511242906207124.0
705.0,-367644588975.0954,-5514668834626431.0
710.0,-367910741459.8731,-5518661121898096.0
715.0,-368213417320.79755,-5523201259811963.0
720.0,-368551367861.46643,-5528270517921996.0
725.0,-368923333234.17194,-5533849998512578.0
730.0,-369328045868.7015,-5539920688030522.0
735.0,-369764233671.16394,-5546463505067459.0
740.0,-370230623001.9396,-5553459345029093.0
745.0,-370725941445.4871,-5560889121682306.0
750.0,-371248920388.5197,-5568733805827795.0
755.0,-371798297426.92175,-5576974461403826.0
760.0,-372372818625.64685,-5585592279384703.0
765.0,-372971240659.6113,-5594568609894169.0
770.0,-373592332867.1633,-5603884993007450.0
775.0,-374234879250.9456,-5613523188764184.0
780.0,-374897680463.7326,-5623465206955989.0
785.0,-375579555818.9948,-5633693337284922.0
790.0,-376279345367.37085,-5644190180510562.0
795.0,-376995912080.7948,-5654938681211922.0
800.0,-377728144185.59033,-5665922162783855.0
805.0,-378474957684.28064,-5677124365264210.0
810.0,-379235299103.04376,-5688529486545656.0
815.0,-380008148497.5445,-5700122227463167.0
820.0,-380792522744.18536,-5711887841162780.0
825.0,-381587479136.5678,-5723812187048517.0
830.0,-382392119298.10504,-5735881789471576.0
835.0,-383205593411.3293,-5748083901169939.0
840.0,-384027104752.6062,-5760406571289093.0
845.0,-384855914507.9086,-5772838717618629.0
850.0,-385691346831.3041,-5785370202469561.0
855.0,-386532794093.24164,-5797991911398624.0
860.0,-387379722251.05084,-5810695833765762.0
865.0,-388231676259.8124,-5823475143897185.0
870.0,-389088285428.5287,-5836324281427930.0
875.0,-389949268614.8996,-5849239029223494.0
880.0,-390814439142.55286,-5862216587138292.0
885.0,-391683709317.753,-5875255639766294.0
890.0,-392557094418.7602,-5888356416281403.0
895.0,-393434716030.3507,-5901520740455261.0
900.0,-394316804598.63654,-5914752068979548.0
905.0,-395203701087.19366,-5928055516307905.0
910.0,-396095857624.44916,-5941437864366737.0
915.0,-396993837043.9974,-5954907555659960.0
920.0,-397898311233.6089,-5968474668504133.0
925.0,-398810058224.6951,-5982150873370426.0
930.0,-399729957971.41223,-5995949369571183.0
935.0,-400658986786.9646,-6009884801804468.0
940.0,-401598210423.58057,-6023973156353708.0
945.0,-402548775801.7206,-6038231637025808.0
950.0,-403511901413.0244,-6052678521195366.0
955.0,-404488866440.068,-6067332996601019.0
960.0,-405480998653.9813,-6082214979809720.0
965.0,-406489661168.25226,-6097344917523783.0
970.0,-407516238143.51416,-6112743572152712.0
975.0,-408562119553.74817,-6128431793306222.0
980.0,-409628685139.0798,-6144430277086197.0
985.0,-410717287684.19037,-6160759315262855.0
990.0,-411829235774.2464,-6177438536613695.0
995.0,-412965776192.12054,-6194486642881808.0
1000.0,-414128076131.4663,-6211921141971994.0
1005.0,-415317205409.83167,-6229758081147475.0
1010.0,-416534118874.3564,-6248011783115346.0
1015.0,-417779639199.5804,-6266694587993705.0
1020.0,-419054440282.3664,-6285816604235495.0
1025.0,-420359031442.7567,-6305385471641350.0
1030.0,-421693742641.5569,-6325406139623353.0
1035.0,-423058710925.3562,-6345880663880343.0
1040.0,-424453868307.3016,-6366808024609523.0
1045.0,-425878931286.9576,-6388183969304363.0
