DEP_AVE,LON_AVE,LAT_AVE,S_AVE,N_AVE,TRAN_STRESS_MPA,NORM_STRESS_MPA
9.75443649292,-104.25497117775,18.34748041875,2.5,-32.5,2.0934232119907956,202.51460595847556
6.46693706512,-104.3769709585,18.20988938105,2.5,-12.5,2.0934232119907956,202.51460595847556
28.9723243713,-103.94911726775,18.69111626595,2.5,-82.5,2.0934232119907956,202.51460595847556
22.1410694122,-104.010386586,18.6224285292,2.5,-72.5,2.0934232119907956,202.51460595847556
24.6572399139,-103.97975936675,18.65677537625,2.5,-77.5,2.0934232119907956,202.51460595847556
13.4022874832,-104.1633450725,18.450623211675,2.5,-47.5,2.0934232119907956,202.51460595847556
8.41880512238,-104.31599526075,18.278694570425007,2.5,-22.5,2.0934232119907956,202.51460595847556
20.8944339752,-104.041003907,18.588077720025,2.5,-67.5,2.0934232119907956,202.51460595847556
7.33827638626,-104.346490351,18.244294869900006,2.5,-17.5,2.0934232119907956,202.51460595847556
18.1954174042,-104.07160641425,18.553720981825,2.5,-62.5,2.0934232119907956,202.51460595847556
14.9369153976,-104.13277697525,18.48499371825,2.5,-52.5,2.0934232119907956,202.51460595847556
39.2230453491,-103.85712126375002,18.794111020375,2.5,-97.5,2.0934232119907956,202.51460595847556
11.3969974518,-104.19389848925,18.4162468326,2.5,-42.5,2.0934232119907956,202.51460595847556
33.8364982605,-103.88779823875,18.7597840975,2.5,-92.5,2.0934232119907956,202.51460595847556
15.8270521164,-104.10219906825,18.5193603004,2.5,-57.5,2.0934232119907956,202.51460595847556
12.0450458527,-104.15762636375,18.38722413655,7.5,-42.5,2.743856214250342,202.6546013303816
34.0456371307,-103.851508215,18.7307053099,7.5,-92.5,2.743856214250342,202.6546013303816
10.2882728577,-104.18817192375,18.352849493475,7.5,-37.5,2.743856214250342,202.6546013303816
19.8415584564,-104.00472255525,18.559026902225,7.5,-67.5,2.743856214250342,202.6546013303816
8.85760784149,-104.249224163,18.2840846509,7.5,-27.5,2.743856214250342,202.6546013303816
30.6360912323,-103.8821768915,18.696379968375,7.5,-87.5,2.743856214250342,202.6546013303816
7.888648986814999,-104.27973090825,18.2496944794,7.5,-22.5,2.743856214250342,202.6546013303816
26.1072998047,-103.94347447925,18.627713352125,7.5,-77.5,2.743856214250342,202.6546013303816
14.1853122711,-104.09650109425,18.4559597557,7.5,-52.5,2.743856214250342,202.6546013303816
27.6293830872,-103.9128306475,18.66204864835,7.5,-82.5,2.743856214250342,202.6546013303816
6.764128685,-104.34071062325,18.18090062835,7.5,-12.5,2.743856214250342,202.6546013303816
23.453498840300004,-103.9741034575,18.593372105825,7.5,-72.5,2.743856214250342,202.6546013303816
16.7664966583,-104.06592134025,18.490320713,7.5,-57.5,2.743856214250342,202.6546013303816
7.07565116882,-104.310227994,18.21530044445,7.5,-17.5,2.743856214250342,202.6546013303816
10.8521614075,-104.1291908405,18.364154955625,12.5,-42.5,3.4326635696043573,202.8960042548276
9.32011604309,-104.18845065875,18.294023156275003,12.5,-32.5,3.4326635696043573,202.8960042548276
12.730506897,-104.0995440985,18.3992144363,12.5,-47.5,3.4326635696043573,202.8960042548276
15.0139436722,-104.06988288,18.434268395675,12.5,-52.5,3.4326635696043573,202.8960042548276
7.403127670289999,-104.247662557,18.223873087425,12.5,-22.5,3.4326635696043573,202.8960042548276
15.0139436722,-104.0744432145,18.434394528825003,17.5,-52.5,4.159024112744759,203.24548873181695
12.730506897,-104.10013740325,18.39676867945,17.5,-47.5,4.159024112744759,203.24548873181695
26.86834144595,-103.92004894825,18.6600777669,17.5,-82.5,4.159024112744759,203.24548873181695
30.6360912323,-103.89427813999998,18.697679585525,17.5,-87.5,4.159024112744759,203.24548873181695
16.7664966583,-104.0230234915,18.50963639835,17.5,-62.5,4.159024112744759,203.24548873181695
33.97592417396667,-103.86849367475,18.73527711945,17.5,-92.5,4.159024112744759,203.24548873181695
8.47823429108,-104.20279841975,18.246228995625003,17.5,-27.5,4.159024112744759,203.24548873181695
23.453498840300004,-103.9715588115,18.58486416875,17.5,-72.5,4.159024112744759,203.24548873181695
19.8415584564,-103.997297912,18.5472524039,17.5,-67.5,4.159024112744759,203.24548873181695
24.6572399139,-103.986625834,18.6461337446,22.5,-77.5,4.921902432008323,203.70961157919396
22.1410694122,-104.00710781375,18.60563891115,22.5,-72.5,4.921902432008323,203.70961157919396
6.819747447969999,-104.23178567725,18.16005205085,22.5,-17.5,4.921902432008323,203.70961157919396
37.2043876648,-103.90459630325,18.808089670875,22.5,-97.5,4.921902432008323,203.70961157919396
28.9723243713,-103.96613215925,18.68662588415,22.5,-82.5,4.921902432008323,203.70961157919396
32.0313682556,-103.9251174155,18.767603852325003,22.5,-92.5,4.921902432008323,203.70961157919396
7.748654365539999,-104.21140722325,18.2005707253,22.5,-22.5,4.921902432008323,203.70961157919396
28.9723243713,-103.9589097115,18.68591215295,27.5,-82.5,5.720045898297427,204.294774182164
19.8415584564,-104.01375658525,18.561428621975,27.5,-67.5,5.720045898297427,204.294774182164
25.3822698593,-103.97720152825,18.644419527025,27.5,-77.5,5.720045898297427,204.294774182164
37.2043876648,-103.90398397325,18.810380081425,27.5,-97.5,5.720045898297427,204.294774182164
16.7664966583,-104.0320198865,18.51993035505,27.5,-62.5,5.720045898297427,204.294774182164
11.4497461319,-104.10498829175,18.353920514225,27.5,-42.5,5.720045898297427,204.294774182164
9.355501651765,-104.14141983425,18.270905178725,27.5,-32.5,5.720045898297427,204.294774182164
