DEP_AVE,LON_AVE,LAT_AVE,S_AVE,N_AVE,TRAN_STRESS_MPA,NORM_STRESS_MPA
37.162525177,171.26841407025,-42.676459654125,2.5,-7.5,18.75224521759346,1417.2516268937975
34.131855011,171.29431383725,-42.71719737140001,2.5,-2.5,18.75224521759346,1417.2516268937975
35.823404312150004,171.32372129725002,-42.657445879250005,7.5,-7.5,18.72497975644901,1415.1721172644857
31.3486995697,171.34964943325002,-42.698171115875,7.5,-2.5,18.72497975644901,1415.1721172644857
37.7751655579,171.35434568225003,-42.592371654375,12.5,-12.5,18.652563829264636,1413.096244882006
30.2788667679,171.40324817624995,-42.674760014075,12.5,-2.5,18.652563829264636,1413.096244882006
29.3508739471,171.4598716295,-42.6530844666,17.5,-2.5,18.53479657336038,1411.029395124583
32.560955047600004,171.44025249175004,-42.61057825415,17.5,-7.5,18.53479657336038,1411.029395124583
36.620253245033325,171.42066535499995,-42.568067912874994,17.5,-12.5,18.53479657336038,1411.029395124583
26.1591720581,171.52154064025,-42.640504619725,22.5,-2.5,18.371666179929797,1408.9769550096785
33.7379875183,171.49278885274998,-42.55314375745,22.5,-12.5,18.371666179929797,1408.9769550096785
38.762956619250005,171.47844110100002,-42.50946077257501,22.5,-17.5,18.371666179929797,1408.9769550096785
30.2813739777,171.50715266575003,-42.596825284875,22.5,-7.5,18.371666179929797,1408.9769550096785
23.3561229706,171.58237415375004,-42.6310986904,27.5,-2.5,18.16334702174754,1406.9442877278243
27.259059906,171.56982408624995,-42.58709143335,27.5,-7.5,18.16334702174754,1406.9442877278243
35.261150360100004,171.54478056575002,-42.4990725471,27.5,-17.5,18.16334702174754,1406.9442877278243
31.5694923401,171.5572952645,-42.54308253555,27.5,-12.5,18.16334702174754,1406.9442877278243
28.69140625,171.6169030525,-42.533859395575,32.5,-12.5,17.91019532367618,1404.9367079828562
24.6035614014,171.64206254049998,-42.62186250355,32.5,-2.5,17.91019532367618,1404.9367079828562
37.0955619812,171.59181437175,-42.44585079955,32.5,-22.5,17.91019532367618,1404.9367079828562
33.1861190796,171.60434812200003,-42.489855918325,32.5,-17.5,17.91019532367618,1404.9367079828562
29.5606174469,171.67649331625,-42.524605282775,37.5,-12.5,17.612743495836824,1402.9594583686485
35.0950660706,171.65132431725002,-42.43660973625,37.5,-22.5,17.612743495836824,1402.9594583686485
26.15765380860001,171.68910263475,-42.568601125425,37.5,-7.5,17.612743495836824,1402.9594583686485
39.1995353699,171.63876455424997,-42.39261003885,37.5,-27.5,17.612743495836824,1402.9594583686485
31.2899646759,171.66389819774997,-42.480608335525,37.5,-17.5,17.612743495836824,1402.9594583686485
23.057836532600003,171.70173331549998,-42.612595306275,37.5,-2.5,17.612743495836824,1402.9594583686485
37.2538566589,171.6982169675,-42.383344590425,42.5,-27.5,17.271693265926025,1401.0176869772413
24.6782627106,171.74871550925002,-42.559309503025005,42.5,-7.5,17.271693265926025,1401.0176869772413
27.9863624573,171.73606600825002,-42.515320216125005,42.5,-12.5,17.271693265926025,1401.0176869772413
33.2619972229,171.71081677874997,-42.427337756575,42.5,-22.5,17.271693265926025,1401.0176869772413
21.6657028198,171.76138643049998,-42.60329711755,42.5,-2.5,17.271693265926025,1401.0176869772413
26.5558280945,171.79462557924998,-42.5061654291,47.5,-12.5,16.88790775871739,1399.1164263977214
30.8183736801,171.7815681665,-42.462243461575,47.5,-17.5,16.88790775871739,1399.1164263977214
19.8552188873,171.82079186975,-42.59400520005,47.5,-2.5,16.88790775871739,1399.1164263977214
35.4646835327,171.76853271800002,-42.41831971695,47.5,-22.5,16.88790775871739,1399.1164263977214
39.6152305603,171.74251286050003,-42.3304680984,47.5,-32.5,16.88790775871739,1399.1164263977214
23.3416576385,171.80769767775,-42.5500862084,47.5,-7.5,16.88790775871739,1399.1164263977214
33.0669364929,171.82429053124997,-42.40901406134999,52.5,-22.5,16.4624026779773,1397.2605742322123
28.6533412933,171.838130627,-42.45280314055,52.5,-17.5,16.4624026779773,1397.2605742322123
22.1364631653,171.8658728395,-42.540375953675,52.5,-7.5,16.4624026779773,1397.2605742322123
18.2934131622,171.87977509175002,-42.5841596758,52.5,-2.5,16.4624026779773,1397.2605742322123
25.2579803467,171.85199396374998,-42.49659021674999,52.5,-12.5,16.4624026779773,1397.2605742322123
37.8512229919,171.81046588524998,-42.3652236507,52.5,-27.5,16.4624026779773,1397.2605742322123
36.2239494324,171.86735030350002,-42.355113150025,57.5,-27.5,15.996336748456272,1395.4548752184946
30.93004417420001,171.88160053349998,-42.39882974665,57.5,-22.5,15.996336748456272,1395.4548752184946
21.0515556335,171.924462706,-42.5299696218,57.5,-7.5,15.996336748456272,1395.4548752184946
20.076089859,171.93879277075,-42.57367911807499,57.5,-2.5,15.996336748456272,1395.4548752184946
24.082118988,171.91015668875005,-42.486257986675,57.5,-12.5,15.996336748456272,1395.4548752184946
27.378370285,171.89586665675,-42.44254492985,57.5,-17.5,15.996336748456272,1395.4548752184946
23.017868042,171.96929945775003,-42.475718107425,62.5,-12.5,15.491001573544237,1393.7039050179235
22.055147171,171.98364785475,-42.519421761425,62.5,-7.5,15.491001573544237,1393.7039050179235
26.2172794342,171.95496708450003,-42.432013023325,62.5,-17.5,15.491001573544237,1393.7039050179235
19.199514389,171.99802035699997,-42.56312326395,62.5,-2.5,15.491001573544237,1393.7039050179235
38.7463264465,171.912097556,-42.300886384275,62.5,-32.5,15.491001573544237,1393.7039050179235
29.6635913849,171.94065867774998,-42.3883058003,62.5,-22.5,15.491001573544237,1393.7039050179235
34.0337677002,171.9263662025,-42.3445971555,62.5,-27.5,15.491001573544237,1393.7039050179235
18.4115562439,172.05723003549994,-42.5525365155,67.5,-2.5,14.94781105890852,1392.012055701216
36.5459289551,171.97107377124996,-42.29034396645,67.5,-32.5,14.94781105890852,1392.012055701216
21.1841163635,172.04281850975,-42.508842426525,67.5,-7.5,14.94781105890852,1392.012055701216
30.288759231550003,171.99971254025002,-42.377748644125,67.5,-22.5,14.94781105890852,1392.012055701216
24.67964839935,172.02843114125,-42.46514617445,67.5,-12.5,14.94781105890852,1392.012055701216
23.322765350300003,172.0875429515,-42.454543761925,72.5,-12.5,14.368290544990396,1390.3835229345057
17.381933212299998,172.11641974275005,-42.541919252825,72.5,-2.5,14.368290544990396,1390.3835229345057
26.95859622955,172.07313275399997,-42.410853483500006,72.5,-17.5,14.368290544990396,1390.3835229345057
30.9051971436,172.05874662724997,-42.367161043025,72.5,-22.5,14.368290544990396,1390.3835229345057
20.3951053619,172.10196924225,-42.49823259475,72.5,-7.5,14.368290544990396,1390.3835229345057
36.4882297516,172.0300303075,-42.279771138275,72.5,-32.5,14.368290544990396,1390.3835229345057
39.8206443787,172.01570002300002,-42.2360736824,72.5,-37.5,14.368290544990396,1390.3835229345057
33.3810462952,172.10335201700005,-42.31285655007501,77.5,-27.5,13.75406578224056,1388.8222948507355
16.4803314209,172.1755894355,-42.5312714973,77.5,-2.5,13.75406578224056,1388.8222948507355
19.6785430908,172.16110000950002,-42.487592287425,77.5,-7.5,13.75406578224056,1388.8222948507355
37.1040420532,172.08896712224998,-42.269167920925,77.5,-32.5,13.75406578224056,1388.8222948507355
29.8316116333,172.1177608955,-42.35654301822501,77.5,-22.5,13.75406578224056,1388.8222948507355
25.5834407806,172.13218580925002,-42.40022804152501,77.5,-17.5,13.75406578224056,1388.8222948507355
22.523229599,172.1466348455,-42.44391089115,77.5,-12.5,13.75406578224056,1388.8222948507355
35.8947105408,172.14788417300002,-42.2585343355,82.5,-32.5,13.10685187238123,1387.3321425765066
39.6493988037,172.1334766035,-42.214851677325,82.5,-37.5,13.10685187238123,1387.3321425765066
24.7653427124,172.19121895425002,-42.389572179875,82.5,-17.5,13.10685187238123,1387.3321425765066
32.2869567871,172.16230772,-42.3022155495,82.5,-27.5,13.10685187238123,1387.3321425765066
28.3883314133,172.17675530224997,-42.34589459097499,82.5,-22.5,13.10685187238123,1387.3321425765066
21.790763855,172.20570678025,-42.43324758347501,82.5,-12.5,13.10685187238123,1387.3321425765066
18.7247667313,172.23473907100004,-42.520593270375,82.5,-2.5,13.10685187238123,1387.3321425765066
34.774051666300004,172.20678141724997,-42.2478704032,87.5,-32.5,12.42844228927288,1385.9166123650944
30.8061361313,172.22124356799995,-42.291544184924994,87.5,-27.5,12.42844228927288,1385.9166123650944
27.089214325,172.23572980525,-42.33521578255,87.5,-22.5,12.42844228927288,1385.9166123650944
38.4104232788,172.19233527799994,-42.204195169625,87.5,-37.5,12.42844228927288,1385.9166123650944
